,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,89.13,59.89,49.5,43.08,0.0,0.0,17.11,2.47,88.87
conll2003,60.69,92.97,68.64,53.71,0.0,0.0,20.55,4.61,0.0
wnut2017,38.45,85.45,58.58,53.74,0.0,0.0,20.07,15.58,0.0
panx_dataset/en,30.6,59.49,52.89,84.02,0.0,0.0,9.74,1.16,0.0
bionlp2004,0.0,0.0,0.0,0.0,74.38,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,88.66,0.0,0.0,0.0
fin,44.16,57.63,57.88,44.48,0.0,0.0,76.48,19.73,0.0
mit_restaurant,4.93,18.37,21.2,24.07,0.0,0.0,18.06,79.63,0.0
mit_movie_trivia,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.23
all_5000,85.67,88.28,51.11,79.22,70.8,79.56,74.72,78.57,66.64
all_10000,87.18,89.76,53.12,82.03,73.03,82.8,75.93,81.27,71.04
all_15000,87.91,89.8,55.48,82.29,73.76,84.25,74.77,81.44,72.33
all_no_mit_5000,85.97,88.08,51.5,79.15,71.01,79.16,71.8,11.56,36.49
all_no_mit_10000,87.74,89.46,54.3,82.03,73.07,83.21,72.66,10.92,44.54
all_no_mit_15000,87.8,90.28,55.12,82.66,74.09,85.04,72.39,10.55,34.76
