,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,87.03,55.23,45.47,40.21,0.0,0.0,14.55,4.59,88.61
conll2003,55.32,91.04,64.2,50.16,0.0,0.0,19.05,23.94,0.0
wnut2017,36.43,79.68,51.59,51.29,0.0,0.0,19.55,18.87,0.0
panx_dataset/en,26.28,53.94,50.0,82.64,0.0,0.0,10.61,3.05,0.0
bionlp2004,0.0,0.0,0.0,0.0,74.02,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,88.56,0.0,0.0,0.0
fin,41.25,56.04,59.43,42.3,0.0,0.0,80.0,24.51,0.0
mit_restaurant,4.14,21.77,22.93,22.36,0.0,0.0,5.48,79.63,0.0
mit_movie_trivia,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.23
all_lower,85.58,87.61,51.28,80.78,73.95,84.23,73.5,80.85,71.83
